prefecture,english,city_id
北海道,Hokkaido,2128295
青森県,Aomori-ken,2130656
岩手県,Iwate-ken,2112518
宮城県,Miyagi-ken,2111888
秋田県,Akita-ken,2113126
山形県,Yamagata-ken,2110556
福島県,Fukushima-ken,2112922
茨城県,Ibaraki-ken,2112669
栃木県,Tochigi-ken,1850310
群馬県,Gunma-ken,1863501
埼玉県,Saitama-ken,1853226
千葉県,Chiba-ken,2113015
東京都,Tokyo,1850147
神奈川県,Kanagawa-ken,1860291
新潟県,Niigata-ken,1855431
富山県,Toyama-ken,1849876
石川県,Ishikawa-ken,1861387
福井県,Fukui-ken,1863983
山梨県,Yamanashi-ken,1848649
長野県,Nagano-ken,1856215
岐阜県,Gifu-ken,1863641
静岡県,Shizuoka-ken,1851715
愛知県,Aichi-ken,1865694
三重県,Mie-ken,1857352
滋賀県,Shiga-ken,1852553
京都府,Kyoto Prefecture,1857910
大阪府,Osaka-fu,1853909
兵庫県,Hyogo,1859171
奈良県,Nara-ken,1855608
和歌山県,Wakayama-ken,1848938
鳥取県,Tottori-ken,1849892
島根県,Shimane-ken,1852442
岡山県,Okayama-ken,1854383
広島県,Hiroshima-ken,1862415
山口県,Yamaguchi-ken,1848689
徳島県,Tokushima-ken,1850158
香川県,Kagawa-ken,1860834
愛媛県,Ehime-ken,1864226
高知県,Kochi Prefecture,1860827
福岡県,Fukuoka-ken,1863967
佐賀県,Saga-ken,1853303
長崎県,Nagasaki-ken,1856177
熊本県,Kumamoto-ken,1858421
大分県,Oita Prefecture,1854487
宮崎県,Miyazaki-ken,1856710
鹿児島県,Kagoshima-ken,1860825
沖縄県,Okinawa-ken,1894616
